rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
609,ChiCTR2200056020,Feasibility and effectiveness of digital therapy in full cycle rehabilitation of patients with heart failure,Interventional,Early Phase 1,hospital/university,四川大学华西医院,Guided,Hospital,No,Management,Diseases of the circulatory system,heart failure,Parallel Assignment,主要研究目的： 1.探讨基于数字疗法的心脏康复在心衰患者全周期管理中的安全性； 2.探讨基于数字疗法的心脏康复对心衰患者肺功能、心功能、心肺耐力、身体功能评分、焦虑抑郁情况、生活质量、再住院率及死亡率的影响。 次要研究目的： 探讨基于数字疗法的心脏康复在心衰患者中应用的满意度及依从性 l 探讨基于数字疗法的心脏康复的社会经济学效益。,2022,18.26666667,2,106,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,Female,simple randomization,"A random number table was generated by a third party using SPSS software to generate random sequences, which were then assigned to the intervention group and the control group.",NP,Not stated
610,ChiCTR2100049674,"A single-center, prospective, single-blind, randomized controlled clinical trial to evaluate the efficacy and safety of digital therapeutics for post-operative patients with remote rehabilitation",Interventional,Early Phase 1,industry,数愈医疗科技公司,Guided,Non-hospital,No,Management,Neoplasms,lung cancer,Parallel Assignment,评估数字疗法对肺癌术后患者远程康复的有效性和安全性。  ,2021,9.066666667,2,88,北京肿瘤医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,All,block randomization,"This study intends to adopt a stratified group randomization strategy, stratified factors include: lobectomy sites (right upper lobe 1, right middle lobe 2, right lower lobe, left upper and lower lobe 3). The sites of surgical lobectomy based on the enrolled patients were divided into three layers and inclu",NP,Not stated
611,NCT05901558,Strategies for Toddler ASD With Remote-therapy (STAR) Model for ASD,Interventional,NP,hospital/university,Children's Hospital of Fudan University,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Autism Spectrum Disorder,Parallel Assignment,Treatment,2023,43.13333333,2,110,Children's Hospital of Fudan University,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,16 Months to 30 Months,,All,randomized-NP,Randomized,single(outcomes assessor),Single
612,NCT06354309,"The Impact of Immersive Virtual Reality Training on Adult: Motion Sickness, and Ocular Surface: A Pilot Study",Interventional,NP,hospital/university,He Eye Hospital,Guided,Non-hospital,No,Management,Diseases of the visual system,Amblyopia,Single Group Assignment,Other,2023,2.666666667,1,38,He Eye Hospital,辽宁省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 50 Years,,All,NP,N/A,open label,None (Open Label)
613,NCT05732467,Effectiveness of Virtual Reality Training in Amblyopia,Interventional,NP,hospital/university,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Guided,Non-hospital,No,Management,Diseases of the visual system,Amblyopia,Parallel Assignment,Treatment,2022,18.83333333,2,90,The Second Affiliated Hospital of Zhejiang University School of Medicine,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,4 Years to 7 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
614,NCT06170996,Internet-Assisted Behavioral Parent Training Intervention for Children With Attention Deficit Hyperactivity Disorder,Interventional,NP,hospital/university,Wuhan Mental Health Centre,Guided,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Attention Deficit Hyperactivity Disorder (ADHD),Parallel Assignment,Treatment,2023,5.666666667,1,118,Wuhan Mental Health Centre,湖北省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,6 Years to 12 Years,,All,randomized-NP,Randomized,"triple(participant, investigator, outcomes assessor)",Triple
615,NCT05606224,The Effects and Mechanisms of Mindfulness Intervention for Emotional Distress,Interventional,NP,hospital/university,Peking University,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Emotional Disorder,Parallel Assignment,Supportive Care,2022,18.53333333,2,200,Beijing Anding Hospital,北京市,NA,"Beijing, Beijing, China",NA,"Foshan, Guangdong, China",NA,"Nanjing, Jiangsu, China",NA,NA,,,,,,,,,,,RECRUITING,18 Years to 65 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
616,NCT05741684,iCBT and ABM for Reducing Depressive Symptoms in Firefighters,Interventional,NP,industry,"Adai Technology (Beijing) Co., Ltd.",Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Depression,Parallel Assignment,Treatment,2022,8.133333333,1,138,Kunming Training Corps of the National Fire and Rescue Administration,云南省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 50 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
617,NCT06035003,Mechanism of Mindfulness-Based Online Intervention in Enhancing Cognitive Flexibility,Interventional,NP,hospital/university,Peking University,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Emotional Distress,Parallel Assignment,Treatment,2023,5.433333333,2,595,Peking University,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",18 Years to 65 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
618,NCT06372548,Rehabilitation Training Games for Children With Amblyopia,Interventional,NP,self-fund,Zhu Dian,Guided,Non-hospital,No,Management,Diseases of the visual system,Amblyopia,Parallel Assignment,Supportive Care,2023,17.3,2,34,Shanghai Jiao Tong University,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,7 Years to 10 Years,,All,randomized-NP,Randomized,"quadruple(Participant, Care Provider, Investigator, Outcomes Assessor)",Quadruple
619,NCT02640716,"Cog-VACCINE: Cognitive Training in Patients With Vascular Cognitive Impairment, no Dementia (Cog-VACCINE)",Interventional,NP,hospital/university,Beijing Friendship Hospital,Fully-automated,Non-hospital,yes,Treatment,Diseases of the nervous system,Vascular Cognitive Impairment no Dementia,Parallel Assignment,Treatment,2015,26.4,2,60,Beijing Friendship Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,50 Years and older,,All,randomized-NP,Randomized,"quadruple(Participant, Care Provider, Investigator, Outcomes Assessor)",Quadruple
620,NCT06347523,VR-Based Preoperative Rehabilitation Program for Patients Undergoing Anterior Cruciate Ligament (ACL) Reconstruction,Interventional,NP,hospital/university,First Affiliated Hospital of Shantou University Medical College,Guided,Non-hospital,No,Prevention,Diseases of the musculoskeletal system or connective tissue,Anterior Cruciate Ligament (ACL) Reconstruction,Parallel Assignment,Treatment,2024,9.1,2,120,"""The First Affiliated Hospital of Shantou University Medical College",广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 60 Years,,All,randomized-NP,Randomized,"triple(participant, investigator, outcomes assessor)",Triple
621,NCT05873127,Web-based Guided Self-help CBT-E vs Online G-CBT-E for Binge Eating Behavior,Interventional,NP,hospital/university,Shanghai Mental Health Center,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Feeding and Eating Disorders,Parallel Assignment,Treatment,2023,17.3,3,120,Shanghai Mental Health Center,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years to 35 Years,,All,randomized-NP,Randomized,"double(investigator, outcomes assessor)",Double
622,NCT04957810,Evaluation of the Effect of Using WeChat Applet to Intervene in the Home Functional Exercise of Patients After Anterior Cruciate Ligament Reconstruction Based on the Health Belief Model,Interventional,NP,hospital/university,Peking University Third Hospital,Guided,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,Anterior Cruciate Ligament Injury,Parallel Assignment,Health Services Research,2019,9.166666667,1,120,Peking University Third Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 45 Years,,All,randomized-NP,Randomized,single(participant),Single
623,NCT03264937,Social-software iMproving wARfarin Therapy (SMART),Interventional,NP,hospital/university,Wuhan Asia Heart Hospital,Guided,Non-hospital,No,Management,"Injury, poisoning or certain other consequences of external causes",Anticoagulants Causing Adverse Effects in Therapeutic Use,Parallel Assignment,Treatment,2017,18.43333333,1,735,WAHH,湖北省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 65 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
624,NCT05511662,Patient-reported Outcome Follow-up Based on the Northern Shanghai Community Chronic Disease Management System,Observational,NP,hospital/university,Shanghai 10th People's Hospital,Fully-automated,Non-hospital,yes,Treatment,Diseases of the circulatory system,Atrial Fibrillation,NA,Cohort,2022,18.2,1,240,Jun Zhang,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years to 85 Years,,All,Non-Randomized,Prospective,NP,NA
625,NCT01909349,Web-based Aftercare Intervention for Cardiac Patients (RENATA),Interventional,NP,hospital/university,Jacobs University Bremen gGmbH,Guided,Non-hospital,No,Management,Diseases of the circulatory system,CARDIOVASCULAR DISEASES,Parallel Assignment,Prevention,2014,35.5,1,1000,China,香港特别行政区,NA,"Bremen, Germany, 28759",NA,"Maastricht, LK, Netherlands, 6211",NA,NA,NA,NA,,,,,,,,,,,Completed,20 Years to 85 Years,,All,randomized-NP,Randomized,single(participant),Single
626,NCT04622514,New Model of Integrated Care of Older Patients With Atrial Fibrillation in Rural China (MIRACLE-AF),Interventional,NP,hospital/university,The First Affiliated Hospital with Nanjing Medical University,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Atrial Fibrillation,Parallel Assignment,Treatment,2020,42.53333333,2,1000,The First Affiliated Hospital of Nanjing Medical University,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",65 Years and older,,All,randomized-NP,Randomized,single(outcomes assessor),Single
627,NCT03588000,The Effect of Remote SMBG Combined With the Application of APP on the Improvement of T2DM Management in the Community,Interventional,NP,self-fund,Yuwen Zhang,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases","Diabetes Mellitus, Type 2",Parallel Assignment,Treatment,2018,29.16666667,1,498,Ruijin Hospital North,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 79 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
628,NCT06326437,Dyadic Intervention for Psychological Distress of Patients With Colorectal Cancer and Their Spouses,Interventional,NP,hospital/university,Sun Yat-sen University,Fully-automated,Hospital,No,Treatment,Neoplasms,Colorectal Cancer,Parallel Assignment,Supportive Care,2024,3.033333333,2,30,The Sixth Affiliated Hospital of Sun Yat-sen University,广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,20 Years to 59 Years,,All,randomized-NP,Randomized,"double(investigator, outcomes assessor)",Double
629,NCT03302455,E-aid Cognitive Behavior Therapy for Insomnia to Prevent Transition From Acute Insomnia to Chronic Insomnia in China,Interventional,NP,hospital/university,"Nanfang Hospital, Southern Medical University",Guided,Non-hospital,No,Prevention,Sleep-wake disorders,Insomnia,Parallel Assignment,Treatment,2017,19.26666667,1,192,"Nanfang Hospital, Southern Medical University",广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,All,randomized-NP,Randomized,NP,NA
630,NCT03724669,A Study of the Effectiveness of Electronic Interventions on the Standardized Prescription Benzodiazepines and Z-drugs,Interventional,NP,hospital/university,Shanghai Mental Health Center,Guided,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders","Bcenzodiazepines, Abuse, Retrospective Study, Focus Groups, Real-world Study",Parallel Assignment,Prevention,2020,13.86666667,2,118,Shanghai Mental Health Center,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,"(Child,  Adult,  Older Adult )",,All,randomized-NP,Randomized,"quadruple(Participant, Care Provider, Investigator, Outcomes Assessor)",Quadruple
631,NCT06094452,Effects of 24-week Computerized Cognitive Training in Patients With MCI and AD,Interventional,NP,hospital/university,Chongqing Medical University,Fully-automated,Hospital,No,Treatment,Diseases of the nervous system,Mild Cognitive Impairment,Parallel Assignment,Treatment,2020,22.23333333,2,84,The First Affiliated Hospital of Chongqing Medical University,重庆市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,55 Years to 90 Years,,All,randomized-NP,Randomized,NP,NA
632,NCT05588102,Electronic Training of Elderly Depression With Cognitive Impairment,Interventional,NP,hospital/university,Capital Medical University,Fully-automated,Hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Geriatric Depression,Parallel Assignment,Treatment,2021,32.03333333,1,128,Beijing Anding Hospital Affiliated to Capital Medical University,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,60 Years to 80 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
633,NCT06227689,Effectiveness of Vaccine Chatbot on HPV Vaccine Awareness and Vaccination in China,Interventional,NP,hospital/university,Fudan University,Fully-automated,Non-hospital,No,Management,Certain infectious or parasitic diseases,HPV Vaccine,Parallel Assignment,Health Services Research,2024,6.5,1,1800,Chizhou Health Center for Disease Control and Prevention,安徽省,NA,"Shanghai, Shanghai, China",NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,10 Years to 16 Years,,Female,randomized-NP,Randomized,"double(participant, care provider)",Double
634,NCT06022575,Telehealth Integrated Care Model in Patients With Cardiometabolic Disease,Observational,NP,hospital/university,Peking University Third Hospital,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Cardiometabolic Disease,NA,Cohort,2023,25.36666667,2,1302,Peking University Third Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,16 Years to 85 Years,,All,Non-Randomized,Prospective,NP,NA
635,NCT05435898,Assessment and Digital-health Based Intervention on Subclinical Organ Damage and Cardiovascular Risk in Chinese,Observational,NP,hospital/university,Shanghai 10th People's Hospital,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Cardiovascular Diseases,factorial assignment,Cohort,2022,85.2,NP,4000,"Shanghai Tenth People's Hospital, Tongji University School of Medicine",上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years and older,,All,Non-Randomized,Prospective,NP,NA
636,NCT06481423,Digital Management of Sleep Health,Interventional,NP,self-fund,Jia Xiu,Fully-automated,Non-hospital,No,Management,Sleep-wake disorders,Chronic Insomnia,Parallel Assignment,Treatment,2022,38.56666667,2,400,"Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University",上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 65 Years,,All,randomized-NP,Randomized,"double(participant, investigator)",Double
637,NCT05992051,Effects of Online Exercise Intervention on Physical and Mental Conditions in Young Adults With Chronic Neck Pain,Interventional,NP,hospital/university,Beijing Sport University,Fully-automated,Non-hospital,No,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",Chronic Non-specific Neck Pain,Parallel Assignment,Treatment,2021,21.83333333,1,39,"School of Sports Medicine and Rehabilitation, Beijing Sport University",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 50 Years,,All,randomized-NP,Randomized,NP,NA
638,NCT06085261,COPD: A Multi-center Supervised Tele-rehabilitation Study (COPDMUST),Interventional,NP,hospital/university,China-Japan Friendship Hospital,Fully-automated,Non-hospital,No,Treatment,Diseases of the respiratory system,Chronic Obstructive Pulmonary Disease,Parallel Assignment,Treatment,2023,13.2,2,360,China-Japan Friendship hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,40 Years to 75 Years,,All,Non-Randomized,Non-Randomized,single(outcomes assessor),Single
639,NCT04754139,A Promotion and Implementation Project of HIV Pre-Exposure Prophylaxis Among High Risk Population,Interventional,NP,hospital/university,University of Chicago,Fully-automated,Non-hospital,No,Treatment,Certain infectious or parasitic diseases,HIV Preexposure Prophylaxis,Single Group Assignment,Health Services Research,2021,33.7,1,1200,Guangzhou Eighth People's Hospital,广东省,NA,"Wuhan, China",NA,NA,NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",18 Years and older,,All,NP,N/A,open label,None (Open Label)
640,NCT06350344,Smart Technology Facilitated Patient-centered Venous Thromboembolism Management (SmaVTE-COR),Interventional,NP,hospital/university,"Navy General Hospital, Beijing",Guided,Non-hospital,No,Prevention,Diseases of the circulatory system,Venous Thromboembolism,Single Group Assignment,Prevention,2024,36.46666667,1,2353,Sixth Medical Center of Chinese PLA General Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years and older,,All,NP,N/A,open label,None (Open Label)
641,NCT06350331,Smart Technology Facilitated Patient-centered Venous Thromboembolism Management (SmaVTE-RCT),Interventional,NP,hospital/university,"Navy General Hospital, Beijing",Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Venous Thromboembolism,Parallel Assignment,Prevention,2024,6.1,2,256,Sixth Medical Center of Chinese PLA General Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years and older,,All,randomized-NP,Randomized,"triple(care provider, investigator, outcomes assessor)",Triple
642,NCT03569462,mHealth and HIV Self-testing,Interventional,NP,hospital/university,Brown University,Fully-automated,Non-hospital,No,Management,Certain infectious or parasitic diseases,Mobile Health Intervention to Promote HIV Self-testing,Parallel Assignment,Prevention,2017,16.16666667,2,100,Anhui Medical University,安徽省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,Male,randomized-NP,Randomized,NP,NA
643,NCT06382038,Smart Technology Facilitated Patient-centered Care for Patients With Pulmonary Thromboembolism (SmaPE),Interventional,NP,hospital/university,"Navy General Hospital, Beijing",Fully-automated,Non-hospital,No,Prevention,Diseases of the circulatory system,Venous Thromboembolism,Parallel Assignment,Prevention,2024,30.43333333,2,3078,Sixth Medical Center of Chinese PLA General Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,NOT YET RECRUITING,18 Years and older,,All,randomized-NP,Randomized,"triple(care provider, investigator, outcomes assessor)",Triple
644,NCT05484895,Mobile Health Intervention to Increase HIV Testing and Linkage to Care,Interventional,NP,hospital/university,Emory University,Fully-automated,Hospital,No,Management,Certain infectious or parasitic diseases,HIV,Parallel Assignment,Prevention,2021,38.1,2,1800,Wuhan Centers for Disease Control and Prevention,湖北省,NA,"Suzhou, Jiangsu, China",NA,"Chengdu, Sichuan, China",NA,NA,NA,NA,,,,,,,,,,,"ACTIVE, NOT RECRUITING",18 Years and older,,Male,randomized-NP,Randomized,NP,NA
645,NCT06145295,The Effectiveness of an Online Support Group in Enhancing Recovery Identity and Health-Related Quality of Life,Interventional,NP,hospital/university,Shanghai Jiao Tong University School of Medicine,Fully-automated,Non-hospital,No,Prevention,Neoplasms,Ovarian Cancer,Parallel Assignment,Supportive Care,2023,5.1,2,68,Shanghai Jiao Tong Universiy,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,45 Years and older,,Female,randomized-NP,Randomized,single(participant),Single
646,NCT04703439,An mHealth Intervention to Improve Medication Adherence and Health Outcomes,Interventional,NP,hospital/university,Duke University,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Coronary Heart Disease,Parallel Assignment,Supportive Care,2018,7.5,2,230,West China Hospital,四川省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 99 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
647,NCT05667363,Digital Therapeutics on Inhalation Medication Adherence in COPD,Interventional,NP,hospital/university,China-Japan Friendship Hospital,Fully-automated,Non-hospital,No,Management,Diseases of the respiratory system,Chronic Obstructive Pulmonary Disease,Parallel Assignment,Other,2022,8.5,1,582,China-Japan Friendship hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,40 Years and older,,All,randomized-NP,Randomized,open label,None (Open Label)
648,NCT04421170,Efficacy of Smartphone App for Smoking Cessation in China,Interventional,NP,hospital/university,Sir Run Run Shaw Hospital,Guided,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Cigarette Smoking,Parallel Assignment,Treatment,2021,26.03333333,2,1289,Yanhui Liao,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,25 Years and older,,All,randomized-NP,Randomized,single(outcomes assessor),Single
649,NCT02726100,SMARTHealth Diabetes in China Using Lay Family Health Promoters,Interventional,NP,international fund,"The George Institute for Global Health, China",Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases","Diabetes Mellitus, Type 2",Parallel Assignment,Health Services Research,2017,43.56666667,1,2073,Hebei Medical University,河北省,NA,"Shijiazhuang, Hebei, China, 050200",NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,40 Years to 75 Years,,All,randomized-NP,Randomized,"double(investigator, outcomes assessor)",Double
650,NCT04069247,Effectiveness of eCBT-I on Improving Mental Health in Chinese Youths With Insomnia,Interventional,NP,hospital/university,Chinese University of Hong Kong,Fully-automated,Non-hospital,No,Management,Sleep-wake disorders,Insomnia,Parallel Assignment,Prevention,2019,57.63333333,2,1750,Peking University Sixth Hospital,北京市,NA,"Hong Kong, Hong Kong",NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,15 Years to 25 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
651,NCT05788068,Efficacy and Neuroimaging Mechanisms of Smoking Cessation in China,Interventional,NP,hospital/university,Sir Run Run Shaw Hospital,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Cigarette Smoking,Single Group Assignment,Treatment,2023,5.566666667,1,120,Yanhui Liao,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 45 Years,,All,NP,N/A,open label,None (Open Label)
652,NCT04069455,ePRO for Adjuvant Therapy of Colorectal Adenocarcinoma,Interventional,NP,hospital/university,Zhejiang University,Fully-automated,Non-hospital,No,Management,Neoplasms,Colorectal Carcinoma,Parallel Assignment,Health Services Research,2019,60.86666667,1,270,GuoXiang Cai,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years to 75 Years,,All,randomized-NP,Randomized,single(investigator),Single
653,NCT05518136,Evaluations of Cardiopulmonary Function and Motor Development of Congenital Heart Disease,Interventional,NP,self-fund,Gejingwa Zhao,Guided,Non-hospital,No,Prevention,Developmental anomalies,Congenital Heart Disease in Children,Parallel Assignment,Supportive Care,2021,13.66666667,2,28,Beijing Children's Hospital,北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,4 Months to 8 Months,,All,randomized-NP,Randomized,open label,None (Open Label)
654,NCT05561855,T2DM Intensity Lifestyle Intervention,Interventional,NP,hospital/university,Ningbo No. 1 Hospital,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases","Diabetes Mellitus, Type 2",Parallel Assignment,Treatment,2022,8.9,1,120,Ningbo First Hospital,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 65 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
655,NCT04192409,Glycemic Control Using Mobile-based Intervention in Patients With Diabetes Undergoing Coronary Artery Bypass to Promote Self-management (GUIDEME),Interventional,NP,hospital/university,China National Center for Cardiovascular Diseases,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Coronary Artery Disease,Parallel Assignment,Supportive Care,2020,30.36666667,1,1038,"Chinese Academy of Medical Science,Fuwai Hospital",北京市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 80 Years,,All,randomized-NP,Randomized,open label,None (Open Label)
656,NCT03856762,Dietary Pattern and Metabolic Health Study,Interventional,NP,hospital/university,Chinese Academy of Sciences,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diet,Parallel Assignment,Prevention,2019,7.1,3,253,Ruijin hospital; SAIC FAW-Volkswagen Automobile Co,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,25 Years to 60 Years,,All,randomized-NP,Randomized,"quadruple(Participant, Care Provider, Investigator, Outcomes Assessor)",Quadruple
657,NCT02029287,Hospital-Community-Family-Care Management Platform for Chronic Heart Failure (HCF-CMP-CHF),Interventional,NP,self-fund,Xiang Gu,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Chronic Heart Failure,Parallel Assignment,Other,2014,85.23333333,2,1000,"Department of cardiovascular medicine,Northern Jiangsu Hospital",江苏省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years and older,,All,randomized-NP,Randomized,open label,None (Open Label)
658,NCT03451344,A Electronic System to Improve Recovery Outcomes in Patients With Drug Use Disorder,Interventional,NP,hospital/university,Shanghai Mental Health Center,Fully-automated,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Drug Use Disorders,Parallel Assignment,Supportive Care,2018,12.16666667,2,60,Haifeng Jiang,上海市,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,20 Years to 50 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
659,NCT04426656,The Development of a Mobile-based App to Increase Uptake of Pre-Exposure Prophylaxis (PrEP) by Men Who Have Sex With Men in China,Interventional,NP,hospital/university,"University of North Carolina, Chapel Hill",Fully-automated,Non-hospital,No,Management,Certain infectious or parasitic diseases,HIV,Parallel Assignment,Other,2020,8.933333333,1,70,Guangzhou No. 8 People's Hospital,广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 99 Years,,Male,randomized-NP,Randomized,NP,NA
660,NCT04421300,A Randomized Study of Smile Exercise for Dry Eye,Interventional,NP,hospital/university,"Zhongshan Ophthalmic Center, Sun Yat-sen University",Fully-automated,Non-hospital,No,Prevention,Diseases of the visual system,Dry Eye,Parallel Assignment,Treatment,2020,9.133333333,2,299,Zhonshan Ophthalmic Centre,广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,Completed,18 Years to 45 Years,,All,randomized-NP,Randomized,single(outcomes assessor),Single
661,NCT04907669,An Implementation Study of Suicide Risk Management Among Discharged Psychiatric Patients,Interventional,NP,hospital/university,Shenzhen Kangning Hospital,Guided,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",Suicide,Parallel Assignment,Prevention,2021,34.43333333,1,624,Shenzhen Kangning Hospital,广东省,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,RECRUITING,18 Years and older,,All,randomized-NP,Randomized,NP,NA
